Descr. 1,Descr. 2,Comune,Provincia,Tipologia punto vendita,P.Iva,Email punto vendita,Agente,Link modulo precompilato
Parafarmacia Dott.ssa Trentin Roberta,,Vicenza,VI,Parafarmacia,03970020248,robertatrentinpf@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Parafarmacia%20Dott.ssa%20Trentin%20Roberta&r26540616401e4f999c44de10ddc004ee=Vicenza&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03970020248&r1addcad129b44b3cb2220834a33335d5=robertatrentinpf%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Lab 51 S.r.l.,,Verona,VR,Sanitaria Ortopedia,04035670233,info@lab51srl.it,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Lab%2051%20S.r.l.&r26540616401e4f999c44de10ddc004ee=Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Sanitaria%20Ortopedia&rc51aa2d7137f43a08b841f5ff85ce8c3=04035670233&r1addcad129b44b3cb2220834a33335d5=info%40lab51srl.it&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Sanitaria Ezzelina Di Girardi Barbara,,Romano D'ezzelino,VI,Sanitaria Ortopedia,03714930249,info@sanitariaezzelina.it,Lucca Paolo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Sanitaria%20Ezzelina%20Di%20Girardi%20Barbara&r26540616401e4f999c44de10ddc004ee=Romano%20D%27ezzelino&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Sanitaria%20Ortopedia&rc51aa2d7137f43a08b841f5ff85ce8c3=03714930249&r1addcad129b44b3cb2220834a33335d5=info%40sanitariaezzelina.it&r59bc1e759dc143c48cba2b322870aea3=Lucca%20Paolo
Erboristeria Raggio Di Sole di Costacurt,a Lucia,Bassano Del Grappa,VI,Erboristeria,02923190249,,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Raggio%20Di%20Sole%20di%20Costacurt&rc51bef4dd505413ebc19b4d510a3365a=a%20Lucia&r26540616401e4f999c44de10ddc004ee=Bassano%20Del%20Grappa&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=02923190249&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Ayurveda Center Estetica di Faccio Anna,Maria,Polesella,RO,Erboristeria,01099540294,eleonora-alt@hotmail.it,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Ayurveda%20Center%20Estetica%20di%20Faccio%20Anna&rc51bef4dd505413ebc19b4d510a3365a=Maria&r26540616401e4f999c44de10ddc004ee=Polesella&r8df9a2a8446640338ce40a1c53c513d7=RO&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=01099540294&r1addcad129b44b3cb2220834a33335d5=eleonora-alt%40hotmail.it&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Farmacia Ziliotto - Pattanaro Di Ziliott,o Dott.ssa Maria E C. S.p.a.,Ponte San Nicolo',PD,Farmacia,03744060280,info@farmaciaziliottopattanaro.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Ziliotto%20-%20Pattanaro%20Di%20Ziliott&rc51bef4dd505413ebc19b4d510a3365a=o%20Dott.ssa%20Maria%20E%20C.%20S.p.a.&r26540616401e4f999c44de10ddc004ee=Ponte%20San%20Nicolo%27&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03744060280&r1addcad129b44b3cb2220834a33335d5=info%40farmaciaziliottopattanaro.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Il Point S.r.l.,,Verona,VR,Sanitaria Ortopedia,02975690237,ilpointvr@ilpoint.it,Lucca Paolo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Il%20Point%20S.r.l.&r26540616401e4f999c44de10ddc004ee=Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Sanitaria%20Ortopedia&rc51aa2d7137f43a08b841f5ff85ce8c3=02975690237&r1addcad129b44b3cb2220834a33335d5=ilpointvr%40ilpoint.it&r59bc1e759dc143c48cba2b322870aea3=Lucca%20Paolo
La Sorgente Di Voltani Emiliana,,Fondo,TN,Erboristeria,01606790226,lasorgentedifondo@yahoo.it,INNERBICHLER IVO,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=La%20Sorgente%20Di%20Voltani%20Emiliana&r26540616401e4f999c44de10ddc004ee=Fondo&r8df9a2a8446640338ce40a1c53c513d7=TN&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=01606790226&r1addcad129b44b3cb2220834a33335d5=lasorgentedifondo%40yahoo.it&r59bc1e759dc143c48cba2b322870aea3=INNERBICHLER%20IVO
Farmacia Pianeri E Mauro S.n.c. Di Taran,a Emilia & C.,Padova,PD,Farmacia,04865430286,farmacia@farmaciapianeriemauro.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Pianeri%20E%20Mauro%20S.n.c.%20Di%20Taran&rc51bef4dd505413ebc19b4d510a3365a=a%20Emilia%20%26%20C.&r26540616401e4f999c44de10ddc004ee=Padova&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04865430286&r1addcad129b44b3cb2220834a33335d5=farmacia%40farmaciapianeriemauro.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Dott. Regazzini,,Brogliano,VI,Farmacia,02669300234,regazzini@tiscali.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Dott.%20Regazzini&r26540616401e4f999c44de10ddc004ee=Brogliano&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02669300234&r1addcad129b44b3cb2220834a33335d5=regazzini%40tiscali.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Mip S.r.l.,,Treviso,TV,Farmacia,11320721001,,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Mip%20S.r.l.&r26540616401e4f999c44de10ddc004ee=Treviso&r8df9a2a8446640338ce40a1c53c513d7=TV&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=11320721001&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Farmacia Dott.ssa Patrizia Vicenzetti,,San Martino Di Venezze,RO,Farmacia,01531180295,farmacia.vicenzetti@virgilio.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Dott.ssa%20Patrizia%20Vicenzetti&r26540616401e4f999c44de10ddc004ee=San%20Martino%20Di%20Venezze&r8df9a2a8446640338ce40a1c53c513d7=RO&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=01531180295&r1addcad129b44b3cb2220834a33335d5=farmacia.vicenzetti%40virgilio.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Sacra Natura Erboristeria Di Zabeo Stefa,nia,Abano Terme,PD,Erboristeria,04525920288,erboristeriasacranatura@gmail.com,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Sacra%20Natura%20Erboristeria%20Di%20Zabeo%20Stefa&rc51bef4dd505413ebc19b4d510a3365a=nia&r26540616401e4f999c44de10ddc004ee=Abano%20Terme&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=04525920288&r1addcad129b44b3cb2220834a33335d5=erboristeriasacranatura%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Farmacia Dr. Paolo Rigo S.n.c.,,Cornedo Vicentino,VI,Farmacia,03998910248,farmrigo@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Dr.%20Paolo%20Rigo%20S.n.c.&r26540616401e4f999c44de10ddc004ee=Cornedo%20Vicentino&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03998910248&r1addcad129b44b3cb2220834a33335d5=farmrigo%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia De Tomi Dr. Francesco,,Villa Bartolomea,VR,Farmacia,01654750239,farmacia.detomi@libero.it,Mancini Andrea,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20De%20Tomi%20Dr.%20Francesco&r26540616401e4f999c44de10ddc004ee=Villa%20Bartolomea&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=01654750239&r1addcad129b44b3cb2220834a33335d5=farmacia.detomi%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Mancini%20Andrea
Parafarmacia Mandriola Dott.ssa Plescia,Elena,Albignasego,PD,Parafarmacia,04646330284,elena.plescia@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Parafarmacia%20Mandriola%20Dott.ssa%20Plescia&rc51bef4dd505413ebc19b4d510a3365a=Elena&r26540616401e4f999c44de10ddc004ee=Albignasego&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04646330284&r1addcad129b44b3cb2220834a33335d5=elena.plescia%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Sacra Famiglia Erboristeria Di Barbara D,ario,Padova,PD,Erboristeria,04776760284,barbara_dario@libero.it,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Sacra%20Famiglia%20Erboristeria%20Di%20Barbara%20D&rc51bef4dd505413ebc19b4d510a3365a=ario&r26540616401e4f999c44de10ddc004ee=Padova&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=04776760284&r1addcad129b44b3cb2220834a33335d5=barbara_dario%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Erboristeria Amaryllis Di Ceccato Rita,,Buttapietra,VR,Erboristeria,03830070235,cristinacampolongo76@gmail.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Amaryllis%20Di%20Ceccato%20Rita&r26540616401e4f999c44de10ddc004ee=Buttapietra&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03830070235&r1addcad129b44b3cb2220834a33335d5=cristinacampolongo76%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Starbene S.r.l.,,Arcugnano,VI,Erboristeria,03856230242,,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Starbene%20S.r.l.&r26540616401e4f999c44de10ddc004ee=Arcugnano&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03856230242&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Erboristeria Armonhie S.a.s. Di Grotto S,usanna & C.,Breganze,VI,Erboristeria,03447940242,susanna@armonhie.it,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Armonhie%20S.a.s.%20Di%20Grotto%20S&rc51bef4dd505413ebc19b4d510a3365a=usanna%20%26%20C.&r26540616401e4f999c44de10ddc004ee=Breganze&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03447940242&r1addcad129b44b3cb2220834a33335d5=susanna%40armonhie.it&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Laboratorio Dr. De Marchi S.r.l.s.,,Padova,PD,Parafarmacia,04683740288,parafarmaciademarchi@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Laboratorio%20Dr.%20De%20Marchi%20S.r.l.s.&r26540616401e4f999c44de10ddc004ee=Padova&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04683740288&r1addcad129b44b3cb2220834a33335d5=parafarmaciademarchi%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Erboristeria & Parafarmacia I Semplici L,a Zagara S.n.c.,Abano Terme,PD,Erboristeria,00167570282,isemplici@alice.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20%26%20Parafarmacia%20I%20Semplici%20L&rc51bef4dd505413ebc19b4d510a3365a=a%20Zagara%20S.n.c.&r26540616401e4f999c44de10ddc004ee=Abano%20Terme&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=00167570282&r1addcad129b44b3cb2220834a33335d5=isemplici%40alice.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Milan Marina E Gaia & C. S.a.s.,,Dueville,VI,Farmacia,02360060244,info@farmaciamilan.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Milan%20Marina%20E%20Gaia%20%26%20C.%20S.a.s.&r26540616401e4f999c44de10ddc004ee=Dueville&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02360060244&r1addcad129b44b3cb2220834a33335d5=info%40farmaciamilan.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Apotheke Latemar Ohg Des Michele Cascian,o & C.,Nova Levante,BZ,Farmacia,02592000216,pharmalatemar@gmail.com,INNERBICHLER IVO,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Apotheke%20Latemar%20Ohg%20Des%20Michele%20Cascian&rc51bef4dd505413ebc19b4d510a3365a=o%20%26%20C.&r26540616401e4f999c44de10ddc004ee=Nova%20Levante&r8df9a2a8446640338ce40a1c53c513d7=BZ&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02592000216&r1addcad129b44b3cb2220834a33335d5=pharmalatemar%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=INNERBICHLER%20IVO
Farmacia Colacci S.a.s.,,Martellago,VE,Farmacia,00691730709,farmaciacolacci@aruba.it,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Colacci%20S.a.s.&r26540616401e4f999c44de10ddc004ee=Martellago&r8df9a2a8446640338ce40a1c53c513d7=VE&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=00691730709&r1addcad129b44b3cb2220834a33335d5=farmaciacolacci%40aruba.it&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Farmacia San Rocco,Martini Giorgio,Cembra Lisignano,TN,Farmacia,01506850229,farm.sanrocco@libero.it,INNERBICHLER IVO,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20San%20Rocco&rc51bef4dd505413ebc19b4d510a3365a=Martini%20Giorgio&r26540616401e4f999c44de10ddc004ee=Cembra%20Lisignano&r8df9a2a8446640338ce40a1c53c513d7=TN&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=01506850229&r1addcad129b44b3cb2220834a33335d5=farm.sanrocco%40libero.it&r59bc1e759dc143c48cba2b322870aea3=INNERBICHLER%20IVO
Farmacia Perissinotto Laura,,Venezia,VE,Farmacia,02171750272,farmaciaperissinotto@libero.it,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Perissinotto%20Laura&r26540616401e4f999c44de10ddc004ee=Venezia&r8df9a2a8446640338ce40a1c53c513d7=VE&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02171750272&r1addcad129b44b3cb2220834a33335d5=farmaciaperissinotto%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Shesau S.r.l.,,Padova,PD,Professionista,03656860289,,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Shesau%20S.r.l.&r26540616401e4f999c44de10ddc004ee=Padova&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Professionista&rc51aa2d7137f43a08b841f5ff85ce8c3=03656860289&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Farmacia del Litorale della dott.ssa Vre,lla Anna Maria,Cavallino,VE,Farmacia,04579930274,farmaciadellitorale@libero.it,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20del%20Litorale%20della%20dott.ssa%20Vre&rc51bef4dd505413ebc19b4d510a3365a=lla%20Anna%20Maria&r26540616401e4f999c44de10ddc004ee=Cavallino&r8df9a2a8446640338ce40a1c53c513d7=VE&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04579930274&r1addcad129b44b3cb2220834a33335d5=farmaciadellitorale%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Parafarmacia Nonsolofarma Di De Pasqual,Dr. Monica & C. S.a.s.,Belluno,BL,Parafarmacia,01066510254,info@nonsolofarma.eu,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Parafarmacia%20Nonsolofarma%20Di%20De%20Pasqual&rc51bef4dd505413ebc19b4d510a3365a=Dr.%20Monica%20%26%20C.%20S.a.s.&r26540616401e4f999c44de10ddc004ee=Belluno&r8df9a2a8446640338ce40a1c53c513d7=BL&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=01066510254&r1addcad129b44b3cb2220834a33335d5=info%40nonsolofarma.eu&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Farmacia Morelli S.n.c.,,Baselga Di Pine,TN,Farmacia,01813150222,info@farmaciamorelli-pine.it,INNERBICHLER IVO,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Morelli%20S.n.c.&r26540616401e4f999c44de10ddc004ee=Baselga%20Di%20Pine&r8df9a2a8446640338ce40a1c53c513d7=TN&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=01813150222&r1addcad129b44b3cb2220834a33335d5=info%40farmaciamorelli-pine.it&r59bc1e759dc143c48cba2b322870aea3=INNERBICHLER%20IVO
Se.Ri.Mi S.r.l.,,Mira,VE,Farmacia,03198940276,,Bressan Vincenzo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Se.Ri.Mi%20S.r.l.&r26540616401e4f999c44de10ddc004ee=Mira&r8df9a2a8446640338ce40a1c53c513d7=VE&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03198940276&r59bc1e759dc143c48cba2b322870aea3=Bressan%20Vincenzo
Parafarmacia Zambon Di Zambon Dott. Ales,sandro,Rosà,VI,Parafarmacia,04047600244,,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Parafarmacia%20Zambon%20Di%20Zambon%20Dott.%20Ales&rc51bef4dd505413ebc19b4d510a3365a=sandro&r26540616401e4f999c44de10ddc004ee=Ros%C3%A0&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04047600244&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
